Name with Owner,commit,deps
pallets/flask,a0801719f8f24a0e3192eca203bbd341c4e557ec,"['Werkzeug>=0.7', 'Jinja2>=2.4', 'itsdangerous>=0.17']"
pallets/flask,506db0eab2bf9e514177d8b46e2708f10601cf36,"['six>=1.3.0', 'Werkzeug>=0.7', 'Jinja2>=2.4', 'itsdangerous>=0.17']"
pallets/flask,8494574fdfa748a299e39339327327d09dbaf16a,
pallets/flask,1b753cb1b1764de5bf3afe1f96032362208febc6,
pallets/flask,40fad2ece80e8bf6784e137028645fa66a3cd9c2,
pallets/flask,1358fd9f3e0d1cdfa2a948a1176b276188ea959e,
pallets/flask,fe85970665ea3a38f9c6a8ef4756ff3a913850b6,
pallets/flask,3f82d1b68ea6f5bf2970c2df8ff5cf991439a9bf,
pallets/flask,b87919348104774e9c959fc00976966e38161129,
pallets/flask,bea5858411b9138e3bf797b87ac6b0f5491c1897,
pallets/flask,19def9606ac50bd308ea283e283cbcf62498d6c7,
pallets/flask,b31f2d9a640c154e41de6d9631e95cf105e96e1f,
pallets/flask,35383ee83c568ce642ffef6733d8b91ebd206185,
pallets/flask,8216e036e96594a4932d1f6a3569fcf39fe3c2bd,
pallets/flask,3de8de1985f46297243eab340abd6c45c82bb9c4,
pallets/flask,766522cb587850f643f3bb6cb011735ae6a98510,
pallets/flask,3765cc2e9e6ea2d227f898d5b176aa50680e491c,
pallets/flask,d5e10e4685f54dde5ffc27c4f55a19fb23f7a536,
pallets/flask,04b90f5ad47d04bace76c18f634d54b0da4b91ce,
pallets/flask,d4d75701bc1ea02a0e9b7e3e0d1aee777bd59116,
pallets/flask,0c75be1172000ad4d0b60920ef5a6fb78880a7d2,
pallets/flask,d4d6cc8401b94ab7c92b70ca5e5b21d22636dd5d,
pallets/flask,5f7f3b17dfe2fbeecf82d5745c497b3ea94bf50a,
pallets/flask,d5cd4f8d59a4a8e5860c8813b3f5d3f3631e9183,
pallets/flask,4cb6eea8f1e1edc707874f72cbca43a0f698ec7d,
pallets/flask,515e946b020584db7f236eb8ad139f9f32de305f,
pallets/flask,510823c1592abe4c57e051e9d21bd134ab7f07a7,
pallets/flask,b64fa73467424b8e6c4efa565d4d5bc2ae414ab7,
pallets/flask,fb1482d3bb1b95803d25247479eb8ca8317a3219,
pallets/flask,874079bffed0f02235f55e4a512822194ac2449a,
pallets/flask,f52f4fd31b9858f8b42be3fbb2818440e58978b4,
pallets/flask,16b101edb6c10a984b0f2960feeeca5a458845a1,"['Werkzeug>=0.6.1', 'Jinja2>=2.4']"
pallets/flask,3f7ab1797730b8d07497744878d109baa9b235a5,"['Werkzeug>=0.6.1', 'Jinja2>=2.4']"
pallets/flask,4f8ee8f12946b224e5003405be99aa4e454bdeee,"['Werkzeug>=0.6.1', 'Jinja2>=2.4']"
pallets/flask,528ae04be024ea27881f4c45e23590c011a8ea66,"['Werkzeug>=0.6.1', 'Jinja2>=2.4']"
pallets/flask,707b30749daf407c07b5b265bd892564576ad80a,"['Werkzeug>=0.6.1', 'Jinja2>=2.4']"
pallets/flask,4ca1d0a2ed7639d3f1d2e466a777f7e6b0e8aa0a,"['Werkzeug>=0.6.1', 'Jinja2>=2.4']"
pallets/flask,ce6e4cbd73d57cb8c1bba85c46490f71061f865f,"['Werkzeug>=0.6.1', 'Jinja2>=2.4']"
pallets/flask,07581b2404924fe1833f596cfa09caf69868ad5b,"['Werkzeug>=0.6.1', 'Jinja2>=2.4']"
pallets/flask,b0ab127015186e1a2918221ffad8d79ca346faf5,"['Werkzeug>=0.6.1', 'Jinja2>=2.4']"
pallets/flask,3c821a0fa45082bcec73dfb08662fb1de5263c48,"['Werkzeug>=0.6.1', 'Jinja2>=2.4']"
pallets/flask,9fbf9a062c11904b5022a5aa7941449e31340c32,"['Werkzeug>=0.6.1', 'Jinja2>=2.4']"
pallets/flask,0bb8b4f9a1c61fcf473e5ca7a10cc3ed4f30766f,"['Werkzeug>=0.6.1', 'Jinja2>=2.4']"
pallets/flask,959b5df00431c436474c5abca304e631c0de7721,"['Werkzeug>=0.6.1', 'Jinja2>=2.4']"
pallets/flask,574e81f9c8bbdc41958e1e7a7613633b091101f8,[]
pallets/flask,1fff3e598126a084348ec2c112fdd3bc6b9a1ee0,[]
pallets/flask,b15ad394279fc3b7f998fa56857f334a7c0156f6,"['Werkzeug==dev', 'Jinja2==dev']"
