Name with Owner,commit,commit_time,deps,log
ytdl-org/youtube-dl,3d4b08dfc7a1cf49686b68d405053475a4c3c490,2016-06-25 02:50:12+07:00,[],"<string>:73: UserWarning: Skipping file youtube-dl.bash-completion since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file youtube-dl.fish since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file README.txt since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file youtube-dl.1 since it is not present. Type  make  to build all automatically generated files.
/home/hrz/miniconda3/lib/python3.8/site-packages/setuptools/dist.py:463: UserWarning: Normalizing '2016.06.23.1' to '2016.6.23.1'
  warnings.warn(tmpl.format(**locals()))
"
ytdl-org/youtube-dl,dcdb292fddc82ae11f4c0b647815a45c88a6b6d5,2016-10-03 23:44:29+07:00,[],"<string>:73: UserWarning: Skipping file youtube-dl.bash-completion since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file youtube-dl.fish since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file README.txt since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file youtube-dl.1 since it is not present. Type  make  to build all automatically generated files.
/home/hrz/miniconda3/lib/python3.8/site-packages/setuptools/dist.py:463: UserWarning: Normalizing '2016.10.02' to '2016.10.2'
  warnings.warn(tmpl.format(**locals()))
"
ytdl-org/youtube-dl,139d8ac106dc173d27cf20361b649c0dbc5f9b67,2017-02-22 01:50:34+07:00,[],"<string>:73: UserWarning: Skipping file youtube-dl.bash-completion since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file youtube-dl.fish since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file README.txt since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file youtube-dl.1 since it is not present. Type  make  to build all automatically generated files.
/home/hrz/miniconda3/lib/python3.8/site-packages/setuptools/dist.py:463: UserWarning: Normalizing '2017.02.21' to '2017.2.21'
  warnings.warn(tmpl.format(**locals()))
"
ytdl-org/youtube-dl,0d427c83047778d2984df5594b96f119ec7f8771,2017-02-22 01:51:27+07:00,[],"<string>:73: UserWarning: Skipping file youtube-dl.bash-completion since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file youtube-dl.fish since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file README.txt since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file youtube-dl.1 since it is not present. Type  make  to build all automatically generated files.
/home/hrz/miniconda3/lib/python3.8/site-packages/setuptools/dist.py:463: UserWarning: Normalizing '2017.02.21' to '2017.2.21'
  warnings.warn(tmpl.format(**locals()))
"
ytdl-org/youtube-dl,963d237d26c7e6da7b6f514c1d240a7046501b05,2017-12-22 23:38:16+07:00,[],"<string>:73: UserWarning: Skipping file youtube-dl.bash-completion since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file youtube-dl.fish since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file README.txt since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file youtube-dl.1 since it is not present. Type  make  to build all automatically generated files.
"
ytdl-org/youtube-dl,af60e81e3c557ace943aab35c1364d3d03d5a3bf,2018-11-22 02:01:39+07:00,[],"<string>:73: UserWarning: Skipping file youtube-dl.bash-completion since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file youtube-dl.fish since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file README.txt since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file youtube-dl.1 since it is not present. Type  make  to build all automatically generated files.
"
ytdl-org/youtube-dl,157eef3e635230cbba0dd0c74f7115029867533e,2018-11-22 02:08:41+07:00,[],"<string>:73: UserWarning: Skipping file youtube-dl.bash-completion since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file youtube-dl.fish since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file README.txt since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file youtube-dl.1 since it is not present. Type  make  to build all automatically generated files.
"
ytdl-org/youtube-dl,067aa17edf5a46a8cbc4d6b90864eddf051fa2bc,2019-03-11 04:00:54+07:00,[],"<string>:73: UserWarning: Skipping file youtube-dl.bash-completion since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file youtube-dl.fish since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file README.txt since it is not present. Type  make  to build all automatically generated files.
<string>:73: UserWarning: Skipping file youtube-dl.1 since it is not present. Type  make  to build all automatically generated files.
/home/hrz/miniconda3/lib/python3.8/site-packages/setuptools/dist.py:463: UserWarning: Normalizing '2019.03.09' to '2019.3.9'
  warnings.warn(tmpl.format(**locals()))
"
nvbn/thefuck,71f1f4224b267711bd9cc372a2ec69902f423a01,2015-04-08 18:15:49+02:00,[],
nvbn/thefuck,327c3a0cf5647ef6ae7a8fc273f7db70a3c4ee90,2015-04-08 18:19:01+02:00,[],
nvbn/thefuck,8e5cc9d73a08acafef64848a81fd63cbc89e8490,2015-04-08 19:00:03+02:00,[],
nvbn/thefuck,173a4300b40653458614c9fdf73ed740289d7357,2015-04-08 19:16:15+02:00,[],
nvbn/thefuck,e7b377a3105d1b3d59e5e8b4882a325b9909fe21,2015-04-08 21:20:11+02:00,[],
nvbn/thefuck,2eb777a5bb41527b627ed0826eca3e16890ef83a,2015-04-17 16:24:03+02:00,['pathlib'],
nvbn/thefuck,1de9c5f77b4eab61f55d421e8baee07c0dc6f88d,2015-04-17 17:01:30+02:00,['pathlib'],
nvbn/thefuck,48831fa850307d79b786076195ece1d387a4db5f,2015-04-17 22:09:46+02:00,['pathlib'],
nvbn/thefuck,73a893dc749a9430d2976c7350b7843943411d8f,2015-04-17 22:31:10+02:00,['pathlib'],
nvbn/thefuck,bfbb8cd7d0ce90efb4178dcd0b6fda44d1a162af,2015-04-17 22:42:18+02:00,['pathlib'],
nvbn/thefuck,9518416a2faf52c17d910726d4186068c50e96fd,2015-04-18 21:16:49+02:00,['pathlib'],
nvbn/thefuck,b0d353c699df50c0a40d21d1d0a708046af6bb9c,2015-04-18 21:30:48+02:00,['pathlib'],
nvbn/thefuck,a84671dd3b7505d4d73f11ee9c7d057429542e24,2015-04-18 21:46:17+02:00,['pathlib'],
nvbn/thefuck,e745f3d4a95ad8c8479955a45e624c1081ff2c86,2015-04-18 22:50:18+02:00,"['pathlib', 'psutil']",
nvbn/thefuck,8b2ba5762c6fa3ef9b40d1624d4c76accb40bfb1,2015-04-18 23:19:34+02:00,"['pathlib', 'psutil']",
nvbn/thefuck,9ecda9a399cab6a683eed27e5dd8de7b394c581c,2015-04-20 15:48:17+02:00,"['pathlib', 'psutil']",
nvbn/thefuck,2db0a215b4006555b21281957fe8e8446da1beb7,2015-04-20 21:48:54+02:00,"['pathlib', 'psutil']",
nvbn/thefuck,0925c7966f19f02da93b2047318eb060bf022349,2015-04-21 05:34:44+02:00,"['pathlib', 'psutil']",
nvbn/thefuck,e7d5d93056e5238f24da548d578157dbc655dde9,2015-04-21 06:26:15+02:00,"['pathlib', 'psutil']",
nvbn/thefuck,8ed01fedbfcca1cb5acf1ca728a857ff93807942,2015-04-21 06:34:03+02:00,"['pathlib', 'psutil']",
nvbn/thefuck,e1fe7ff7d02abe9fc1a447bf49eb97b37ca7b18d,2015-04-21 06:56:26+02:00,"['pathlib', 'psutil']",
nvbn/thefuck,478fa4cd09059eea4c89adf16ac31dcd975cfa8f,2015-04-21 08:30:48+02:00,"['pathlib', 'psutil']",
nvbn/thefuck,f2392349f732060b2530545f4da37d0bfa611bb2,2015-04-21 08:38:52+02:00,"['pathlib', 'psutil']",
nvbn/thefuck,82e2c894720e0316d9799eb56374ee06858a8b0c,2015-04-21 08:40:17+02:00,"['pathlib', 'psutil']",
nvbn/thefuck,798928b5adc67cbacecc166937b6282b079ef7c1,2015-04-21 08:45:45+02:00,"['pathlib', 'psutil']",
nvbn/thefuck,bd5f5045aa208e737ce61f77b279574cd5a8e31b,2015-04-21 08:57:35+02:00,"['pathlib', 'psutil']",
nvbn/thefuck,54d82f9528ae9cb0b7fa62522156ad832c976ed1,2015-04-21 14:41:28+02:00,"['pathlib', 'psutil']",
nvbn/thefuck,20f8a4ad17e4fb014d38a390b98fed872cc4ebc8,2015-04-21 22:30:15+02:00,"['pathlib', 'psutil']",
nvbn/thefuck,d1b1465f4e80dc08fd210638c05248890c974b35,2015-04-21 22:31:01+02:00,"['pathlib', 'psutil']",
nvbn/thefuck,5d424dad88c71b926c6356df6e207cceb5a05c5a,2015-04-22 06:03:06+02:00,"['pathlib', 'psutil', 'colorama']",
nvbn/thefuck,e7b78205f4c7cb060ebe5670f1d0986dbb0cf924,2015-04-22 16:45:38+02:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,69ddd82baeb5ead4366c4e6a1bee7f28b4aacca1,2015-04-22 16:46:06+02:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,0272e8a8018344d0f9757e21999ffb517d199a03,2015-04-22 23:37:02+02:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,48ec853436a7e4dd4caa12ccca7dc3ba374f2ae5,2015-04-23 21:50:38+02:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,0009fb0588a19bb71450691286fa72eec393f9d5,2015-04-25 02:04:38+02:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,b80f3ea6e4c77cee3fc02dcbbd0ff5a34ac0ee0f,2015-04-29 05:02:32+02:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,8a49b40f6a7dea32f72ccf733eca7b6e84c03686,2015-05-01 00:00:43+05:18,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,fb7376f5a56e04be5dcaa81bcb19599ee650abbe,2015-05-01 04:47:25+02:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,bcd3154121bfe334a0713af9b12ad9aede3ae642,2015-05-03 12:59:37+02:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,72ac9650f944746fca2b5a48c031579c205b730f,2015-05-03 13:25:01+02:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,a8ff2375c0b4fd99ed1bcb79edd33377461ce79e,2015-05-04 05:01:56+02:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,f3d377114e8110d445a0bcbbbf38f2606008ddb9,2015-05-07 13:12:25+02:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,91c1fe414a9ecfe26768211da62c2999611145fe,2015-05-07 13:32:23+02:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,29e70e14a0e08907e79ebee1a90bf0fcbfb6b1ec,2015-05-07 14:16:17+02:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,f082ba829fadd26e5528338a0ada15cd3ce14404,2015-05-08 15:27:33+02:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,f477cd69c250a4d4a9f5fb714c719f0170aacac8,2015-05-09 18:53:49+02:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,0fc7c00e8dd5b90054b5b0d41c1c25239c18c878,2015-05-11 14:16:59+02:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,051f5fcb8900c5e04dfd2c4876879a3628cdf933,2015-05-19 15:48:17+03:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,02d961361874a272da9370af82c5526282689c84,2015-05-20 02:50:43+03:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,d088dac0f47c577f0b7d960044a9ff71e91d3374,2015-05-21 01:07:41+03:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,a5aadc6e907c8acc7a07370212dcc2f9831d75eb,2015-05-28 21:31:10+03:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,ce922758a4aded4c41b6bf10a630270638117c7e,2015-06-02 08:47:53+03:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,5e981d9b0172693e8ae27be29a8e21f2c9dc6367,2015-06-07 02:24:08+03:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,409d839e92d8b0f23d1b58650074453cbfa32429,2015-07-03 00:17:07+05:18,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,30082bc9a94614bf6c42c25d6b688493b799871c,2015-07-04 11:55:28-03:00,"['psutil', 'colorama', 'six']",
nvbn/thefuck,a75c99eb12ce3c68c07a7a3ed7ed4090a9d30e79,2015-07-04 12:24:09-03:00,"['psutil', 'colorama', 'six']",
nvbn/thefuck,18ea4272abbcc07380a988022e71635efd7413a9,2015-07-04 12:26:56-03:00,"['psutil', 'colorama', 'six']",
nvbn/thefuck,fac18de24274f2b226c1df012785bdb4d9d3e17b,2015-07-07 16:33:41+03:00,"['pathlib', 'psutil', 'colorama', 'six']",
nvbn/thefuck,22503cdb942b3546db596a26ac3d68e02620fc56,2015-07-07 16:34:30+03:00,"['psutil', 'colorama', 'six']",
nvbn/thefuck,3d842fe6eb4c386c7d51ca9494270aa8f948da15,2015-07-07 16:39:21+03:00,"['psutil', 'colorama', 'six']",
nvbn/thefuck,fbf7b91005aec335a01d0432cd10fa7d5f8abd18,2015-07-07 16:39:40+03:00,"['psutil', 'colorama', 'six']",
nvbn/thefuck,c7071763a37c079595bda98de13186a472620b84,2015-07-08 21:34:39+03:00,"['psutil', 'colorama', 'six']",
nvbn/thefuck,78769e4fbcccf678c46f46156e6e9bb2b5f84ed1,2015-07-15 07:49:18+03:00,"['psutil', 'colorama', 'six']",
nvbn/thefuck,51c37bc5abf18adc69ba1a94e8bfbf57891764d8,2015-07-17 18:51:35+02:00,"['psutil', 'colorama', 'six']",
nvbn/thefuck,4fb990742dff034ba267dadb28accb55982f5d88,2015-07-19 22:33:56+03:00,"['psutil', 'colorama', 'six']",
nvbn/thefuck,1b961c4b876324717f91f646cffa581539736763,2015-07-20 21:14:43+03:00,"['psutil', 'colorama', 'six']",
nvbn/thefuck,164103693bc0c03b1d596aef542489f75935a8a8,2015-07-20 21:16:53+03:00,"['psutil', 'colorama', 'six']",
nvbn/thefuck,c8d748e0955383c7a66d7839eca1b741437692a7,2015-07-21 16:31:17+03:00,"['psutil', 'colorama', 'six']",
nvbn/thefuck,6c534c52bca30f36a9b4bcb26ef9784ed6bba76d,2015-07-22 04:45:04+03:00,"['psutil', 'colorama', 'six']",
